,course_name,train_score,test_score,dev_score,train_groundtruth,test_groundtruth,dev_groundtruth,train_size,test_size,dev_size,test_precision,test_recall,test_f1_score,dev_precision,dev_recall,dev_f1_score,dev_fpr,dev_tpr,dev_threshold,dev_auc
0,CHEMENG162,0.625,1.0,0.5,0.625,1.0,0.5,16,2,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,[0. 1.],[0. 1.],[1.625 0.625],0.5
1,MS&E245G,0.6857142857142857,0.6,0.75,0.6857142857142857,0.6,0.75,35,5,4,0.6,1.0,0.7499999999999999,0.75,1.0,0.8571428571428571,[0. 1.],[0. 1.],[1.68571429 0.68571429],0.5
2,PUBLPOL105,0.7166666666666667,0.875,0.75,0.7166666666666667,0.875,0.75,60,8,8,0.875,1.0,0.9333333333333333,0.75,1.0,0.8571428571428571,[0. 1.],[0. 1.],[1.71666667 0.71666667],0.5
3,PHYSICS61,0.8082191780821918,0.8214285714285714,0.7407407407407407,0.8082191780821918,0.8214285714285714,0.7407407407407407,219,28,27,0.8214285714285714,1.0,0.9019607843137255,0.7407407407407407,1.0,0.851063829787234,[0. 1.],[0. 1.],[1.80821918 0.80821918],0.5
4,MS&E145,0.8341013824884793,0.7857142857142857,0.9259259259259259,0.8341013824884793,0.7857142857142857,0.9259259259259259,217,28,27,0.7857142857142857,1.0,0.88,0.9259259259259259,1.0,0.9615384615384615,[0. 1.],[0. 1.],[1.83410138 0.83410138],0.5
5,BIO42,0.5816326530612245,0.5675675675675675,0.6216216216216216,0.5816326530612245,0.5675675675675675,0.6216216216216216,294,37,37,0.5675675675675675,1.0,0.7241379310344828,0.6216216216216216,1.0,0.7666666666666667,[0. 1.],[0. 1.],[1.58163265 0.58163265],0.5
6,CME106,0.5209003215434084,0.5128205128205128,0.46153846153846156,0.4790996784565916,0.48717948717948717,0.5384615384615384,311,39,39,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.47909968 0.47909968],0.5
7,PSYCH30,0.618421052631579,0.49122807017543857,0.49122807017543857,0.618421052631579,0.49122807017543857,0.49122807017543857,456,57,57,0.49122807017543857,1.0,0.6588235294117647,0.49122807017543857,1.0,0.6588235294117647,[0. 1.],[0. 1.],[1.61842105 0.61842105],0.5
8,BIO144,0.8048780487804879,0.6666666666666666,0.6,0.8048780487804879,0.6666666666666666,0.6,41,6,5,0.6666666666666666,1.0,0.8,0.6,1.0,0.7499999999999999,[0. 1.],[0. 1.],[1.80487805 0.80487805],0.5
9,PUBLPOL104,0.7142857142857143,0.75,0.75,0.7142857142857143,0.75,0.75,63,8,8,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,[0. 1.],[0. 1.],[1.71428571 0.71428571],0.5
10,MS&E252,0.5227272727272727,0.36363636363636365,0.2727272727272727,0.5227272727272727,0.36363636363636365,0.2727272727272727,88,11,11,0.36363636363636365,1.0,0.5333333333333333,0.2727272727272727,1.0,0.42857142857142855,[0. 1.],[0. 1.],[1.52272727 0.52272727],0.5
11,MATH42,0.5263157894736842,0.6363636363636364,0.7142857142857143,0.5263157894736842,0.6363636363636364,0.7142857142857143,171,22,21,0.6363636363636364,1.0,0.7777777777777778,0.7142857142857143,1.0,0.8333333333333333,[0. 1.],[0. 1.],[1.52631579 0.52631579],0.5
12,ECON112,0.9363636363636364,0.9285714285714286,0.9285714285714286,0.9363636363636364,0.9285714285714286,0.9285714285714286,110,14,14,0.9285714285714286,1.0,0.962962962962963,0.9285714285714286,1.0,0.962962962962963,[0. 1.],[0. 1.],[1.93636364 0.93636364],0.5
13,ME140,0.7087912087912088,0.7391304347826086,0.8260869565217391,0.7087912087912088,0.7391304347826086,0.8260869565217391,182,23,23,0.7391304347826086,1.0,0.85,0.8260869565217391,1.0,0.9047619047619047,[0. 1.],[0. 1.],[1.70879121 0.70879121],0.5
14,BIOE41,0.7068965517241379,0.75,0.14285714285714285,0.7068965517241379,0.75,0.14285714285714285,58,8,7,0.75,1.0,0.8571428571428571,0.14285714285714285,1.0,0.25,[0. 1.],[0. 1.],[1.70689655 0.70689655],0.5
15,BIOE101,0.5732484076433121,0.7,0.75,0.5732484076433121,0.7,0.75,157,20,20,0.7,1.0,0.8235294117647058,0.75,1.0,0.8571428571428571,[0. 1.],[0. 1.],[1.57324841 0.57324841],0.5
16,LINGUIST105,0.8823529411764706,1.0,0.7272727272727273,0.8823529411764706,1.0,0.7272727272727273,85,11,11,1.0,1.0,1.0,0.7272727272727273,1.0,0.8421052631578948,[0. 1.],[0. 1.],[1.88235294 0.88235294],0.5
17,EARTHSYS111,0.6326530612244898,0.6842105263157895,0.6111111111111112,0.6326530612244898,0.6842105263157895,0.6111111111111112,147,19,18,0.6842105263157895,1.0,0.8125000000000001,0.6111111111111112,1.0,0.7586206896551725,[0. 1.],[0. 1.],[1.63265306 0.63265306],0.5
18,AA242A,0.5,0.5,0.5,0.5,0.5,0.5,14,2,2,0.0,0.0,0.0,0.0,0.0,0.0,[0. 1.],[0. 1.],[1.5 0.5],0.5
19,CME104A,0.7619047619047619,0.6666666666666666,0.3333333333333333,0.7619047619047619,0.6666666666666666,0.3333333333333333,21,3,3,0.6666666666666666,1.0,0.8,0.3333333333333333,1.0,0.5,[0. 1.],[0. 1.],[1.76190476 0.76190476],0.5
20,PSYCH10,0.6977777777777778,0.7241379310344828,0.6071428571428571,0.6977777777777778,0.7241379310344828,0.6071428571428571,225,29,28,0.7241379310344828,1.0,0.8400000000000001,0.6071428571428571,1.0,0.7555555555555554,[0. 1.],[0. 1.],[1.69777778 0.69777778],0.5
21,PHIL184,0.851063829787234,0.6666666666666666,0.8333333333333334,0.851063829787234,0.6666666666666666,0.8333333333333334,94,12,12,0.6666666666666666,1.0,0.8,0.8333333333333334,1.0,0.9090909090909091,[0. 1.],[0. 1.],[1.85106383 0.85106383],0.5
